food,per_100g_kcal,protein_g,carbs_g,fat_g,fibre_g,sugar_g
Abalone,105,17.1,6.0,0.8,0,0.0
Anchovies,210,29.0,0.0,10.0,0,0.0
Bacon (fried),541,37.0,1.4,42.0,0,0.0
Barramundi,92,19.0,0.0,1.8,0,0.0
Beef bone marrow,770,7.0,0.0,84.0,0,0.0
Beef brisket,246,27.0,0.0,18.0,0,0.0
Beef cheeks,250,30.0,0.0,18.0,0,0.0
Beef chuck,240,26.0,0.0,17.0,0,0.0
Beef heart,112,17.7,0.0,3.9,0,0.0
Beef liver,135,20.4,3.9,3.6,0,0.0
Beef mince 80/20,254,17.0,0.0,20.0,0,0.0
Beef mince 90/10,176,26.0,0.0,10.0,0,0.0
Beef mince 95/5,137,26.0,0.0,5.0,0,0.0
Beef ribeye,291,25.0,0.0,21.0,0,0.0
Beef rump,194,28.0,0.0,9.0,0,0.0
Beef shank,201,28.0,0.0,9.0,0,0.0
Beef short ribs,290,25.0,0.0,21.0,0,0.0
Beef sirloin steak,217,26.0,0.0,12.0,0,0.0
Beef tongue,284,19.0,0.0,22.0,0,0.0
Bison,143,28.0,0.0,3.0,0,0.0
Cabana,460,20.0,2.0,40.0,0,0.0
Camel,160,29.0,0.0,4.0,0,0.0
Chicken breast (cooked),165,31.0,0.0,3.6,0,0.0
Chicken breast (raw),120,22.5,0.0,2.6,0,0.0
Chicken drumstick,172,18.0,0.0,11.0,0,0.0
Chicken skin,450,10.0,0.0,40.0,0,0.0
Chicken thigh (cooked),209,26.0,0.0,10.9,0,0.0
Chicken thigh (raw),177,18.0,0.0,12.0,0,0.0
Chicken wings,203,30.5,0.0,8.1,0,0.0
Chorizo,455,24.0,1.0,38.0,0,0.0
Clams,148,25.5,5.1,2.9,0,0.0
Cod,82,18.0,0.0,0.7,0,0.0
Crab,97,19.0,0.0,1.5,0,0.0
Crocodile,104,22.0,0.0,2.0,0,0.0
Duck meat,337,19.0,0.0,28.4,0,0.0
Egg (whole),143,13.0,0.7,9.5,0,0.4
Egg white,52,11.0,0.7,0.2,0,0.7
Emu,137,29.0,0.0,3.0,0,0.0
Frankfurter,290,12.0,2.0,26.0,0,0.0
Goat,143,27.0,0.0,3.0,0,0.0
Goose meat,305,25.0,0.0,22.0,0,0.0
Haddock,90,20.0,0.0,0.6,0,0.0
Hake,86,18.0,0.0,0.8,0,0.0
Halibut,111,23.0,0.0,2.0,0,0.0
Ham,145,21.0,1.5,5.5,0,1.5
Kangaroo,98,22.0,0.0,1.0,0,0.0
Lamb kidney,112,16.0,0.0,3.5,0,0.0
Lamb leg,206,28.0,0.0,9.0,0,0.0
Lamb liver,140,20.0,1.8,5.0,0,0.0
Lamb loin,234,25.6,0.0,14.0,0,0.0
Lamb shank,261,29.0,0.0,18.0,0,0.0
Lamb shoulder,294,25.0,0.0,21.0,0,0.0
Lobster,90,19.0,0.0,0.9,0,0.0
Mackerel,305,19.0,0.0,25.0,0,0.0
Minced pork,263,17.0,0.0,21.0,0,0.0
Mortadella,311,16.0,2.0,25.0,0,0.0
Mussels,172,24.0,7.4,4.5,0,0.0
Octopus,82,15.0,2.2,1.0,0,0.0
Ostrich,145,29.0,0.0,2.0,0,0.0
Oysters,68,7.0,4.9,2.5,0,0.0
Pepperoni,494,24.0,1.5,44.0,0,0.0
Pollock,92,19.0,0.0,1.0,0,0.0
Pork belly,518,9.3,0.0,53.0,0,0.0
Pork chops,231,25.0,0.0,14.0,0,0.0
Pork loin,198,27.0,0.0,9.0,0,0.0
Pork ribs,321,22.0,0.0,27.0,0,0.0
Pork shoulder,297,23.0,0.0,23.0,0,0.0
Pork tenderloin,143,26.0,0.0,3.5,0,0.0
Prawns / shrimp,99,24.0,0.2,0.3,0,0.0
Prosciutto,276,26.0,0.5,18.0,0,0.0
Quail,234,25.0,0.0,14.0,0,0.0
Rabbit,173,33.0,0.0,3.5,0,0.0
Salami,407,22.0,1.6,34.0,0,0.0
Salmon (cooked),232,25.0,0.0,14.0,0,0.0
Salmon (raw),208,20.4,0.0,13.4,0,0.0
Sardines,208,24.6,0.0,11.5,0,0.0
Sausage (beef),301,14.0,2.0,27.0,0,0.0
Sausage (chicken),260,17.0,2.0,20.0,0,0.0
Sausage (pork),297,13.0,2.0,26.0,0,0.0
Scallops,88,17.0,3.2,0.8,0,0.0
Snapper,100,20.0,0.0,1.5,0,0.0
Squid / calamari,92,15.6,3.1,1.4,0,0.0
Swordfish,172,23.0,0.0,9.0,0,0.0
Trout,190,20.5,0.0,12.0,0,0.0
Tuna (canned in oil),198,29.0,0.0,8.0,0,0.0
Tuna (canned in water),116,26.0,0.0,1.0,0,0.0
Tuna (fresh),132,29.0,0.0,1.0,0,0.0
Turkey breast (cooked),135,30.1,0.0,1.6,0,0.0
Turkey breast (raw),114,24.0,0.0,1.2,0,0.0
Turkey thigh,208,28.0,0.0,10.0,0,0.0
Venison,158,30.0,0.0,3.2,0,0.0
Whitebait,120,21.0,0.0,3.0,0,0.0
