food,per_100g_kcal,protein_g,carbs_g,fat_g,fibre_g,sugar_g
Adzuki beans (cooked),128,7.5,25.0,0.1,7.3,0.3
Adzuki beans (dry),329,19.9,62.9,0.5,12.7,6.6
Almonds,579,21.2,21.6,49.9,12.5,4.4
Black beans (cooked),132,8.9,23.7,0.5,8.7,0.3
Black beans (dry),339,21.6,62.4,1.4,16.6,2.1
Black-eyed peas (cooked),116,7.7,20.8,0.5,6.5,3.3
Black-eyed peas (dry),336,23.5,60.0,1.3,10.6,10.0
Brazil nuts,659,14.3,11.7,67.1,7.5,2.3
Candlenuts (kukui),610,10.0,11.0,60.0,6.0,2.0
Cannellini beans (cooked),136,9.0,24.0,0.4,6.3,0.6
Cannellini beans (dry),333,23.0,60.0,1.5,15.2,2.0
Cashews,553,18.2,30.2,43.9,3.3,5.9
Chestnuts (raw),213,2.4,45.5,2.3,8.1,10.6
Chickpeas (cooked),164,8.9,27.4,2.6,7.6,4.8
Chickpeas (dry),364,19.3,60.7,6.0,17.4,10.7
Coconut (desiccated),660,6.9,23.7,64.5,16.3,7.4
Coconut (fresh meat),354,3.3,15.2,33.5,9.0,6.2
Fava beans (cooked),110,7.6,19.7,0.4,5.4,1.8
Fava beans (dry),341,26.1,58.3,1.5,25.0,5.7
Green peas (cooked),84,5.4,15.6,0.4,5.5,5.7
Green peas (dry),352,25.0,60.0,1.2,8.8,6.5
Hazelnuts,628,15.0,16.7,60.8,9.7,4.3
Kidney beans (cooked),127,8.7,22.8,0.5,6.4,0.3
Kidney beans (dry),333,23.6,60.0,0.8,24.9,2.2
Lentils (cooked),116,9.0,20.1,0.4,7.9,1.8
Lentils (dry),353,25.8,60.1,1.1,10.7,2.0
Lupin beans (dry),371,40.0,40.0,6.0,18.0,3.0
Macadamia nuts,718,7.9,13.8,75.8,8.6,4.6
Mung beans (cooked),105,7.0,19.1,0.4,7.6,2.0
Mung beans (dry),347,23.9,62.6,1.2,16.3,6.6
Navy beans (cooked),140,8.3,26.0,0.6,10.5,0.3
Navy beans (dry),337,22.3,60.8,1.5,10.5,2.1
Peanuts (raw),567,25.8,16.1,49.2,8.5,4.7
Pecans,691,9.2,13.9,72.0,9.6,4.0
Pine nuts,673,13.7,13.1,68.4,3.7,3.6
Pinto beans (cooked),143,9.0,26.2,0.7,9.0,1.1
Pinto beans (dry),347,21.4,63.0,1.2,15.5,2.1
Pistachios,562,20.2,27.5,45.4,10.3,7.7
Soybeans (cooked),173,16.6,9.9,9.0,6.0,3.0
Soybeans (dry),446,36.5,30.2,19.9,9.3,7.3
Split peas (dry),341,25.0,60.0,1.2,25.0,8.0
Tiger nuts (chufa),450,6.1,58.0,24.0,33.0,20.0
Walnuts,654,15.2,13.7,65.2,6.7,2.6
